,timestamp,tweet_text,all_hashtags,retweet_count,tweet_created_at, username,followers_count,target
14,5/3/2021 0:49,@HoustonRockets Yessir,[],0,5/3/2021 0:49,abdul__aal,959,positive
16,5/3/2021 0:51,Thanks for the alert &amp; updates Best analysis so far  $FB $LOVE $WORK $AAL $AMD $MNTA $GLD $TWR $SLV $XOM  $WMT $CCL $HD $TSLA $XLE $SPY $IWM $ES $WPX $BA $SPG $MCD $MFA $HTZ  $C $ES $AMC $DIS $ZNGA $ZM $PLNT $MGM $SPY $AMD $AMZN $DIS https://t.co/OEmzN6cl60,[],0,5/3/2021 0:51,Jackmor98705125,195,neutral
18,5/3/2021 1:00,$penn $mara $aal $tsla $opti $spy $srne $coin $sunw $dkng $aapl $hexo $ibio $vxrt $acb $fb $amc  $gme $fsr $cciv $msft $mvis $snap $fubo $wkhs $sndl $pltr $ocgn $amd $nakd  ALERTED $NIO at $6.1 RAN TO $35 (480% GAIN)  DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],0,5/3/2021 1:00,Right__Stocks,988,neutral
20,5/3/2021 1:19,But there is no shortage of platitudes from @narendramodi's ministers saying “Aal is well! No need to panic”. No shortage of politicking &amp; blame game. In Delhi the LG (read @BJP4India) notified that henceforth all executive action will require his approval under a new law.,[],0,5/3/2021 1:19,powerofyogesh,4421,negative
21,5/3/2021 1:19,"So recently I've observed that the word 'baba' in nohas makes me cry a lot.  I don’t even call my own father baba - but in mournful poetry, no other word carries the weight of all the calamities that have befallen Aal e Mohammad. (1/n)",[],0,5/3/2021 1:19,wrongsidenose,200,negative
22,5/3/2021 1:22,"“Allaah (Alone) is Sufficient for us, and He is the Best Disposer of Affairs (for us).” “The Quran Aal ‘Imraan 3:171″",[],0,5/3/2021 1:22,OrsaCorp,147,positive
23,5/3/2021 1:24,#StockPick for next week! #rap #rapper #stockmarket #stonks #stocks $dkng $penn $czr $tsla $btc $doge $eth $cciv $el #earnings #L #pfe $gm $aapl $sndl $amc $gme $nio $ge $ccl $dis $f $msft $amzn $nok $plug $aal $acb $snap $coin $bac $fb $mrna $cgc $amd $twtr $ko $bb $ba $uber https://t.co/kXPNeIJ8P3,"['StockPick', 'rap', 'rapper', 'stockmarket', 'stonks', 'stocks', 'earnings', 'L', 'pfe']",6,5/3/2021 1:24,CassiusCuvee,3481,neutral
28,5/3/2021 2:06,@gamansanthal72 @JivrajaalOffice @JivrajAal @jivrajaalsena Happy birthday AAL Saheb,[],0,5/3/2021 2:06,BharatDAAL1,138,positive
27,5/3/2021 2:06,"The most accurate indicator of 90% hit on BTC signals, we can do a lot 👉 https://t.co/A6hmAqUmXn  $pfe $sunw $gevo $mara $vxrt $aapl $ibio $wkhs $gme $rkt $penn $opti $fsly $uxin $nio $mrna $xspa $fb $aal $spy $msft $boxl $nkla $novn $ino $dkng $tsla $spaq $spce $hd $NFT https://t.co/hRFLiP4COT",[],0,5/3/2021 2:06,Courtne79284795,12,positive
30,5/3/2021 2:13,"Aal-e-Imran 3:178  And let not those who disbelieve ever think that [because] We extend their time [of enjoyment] it is better for them. We only extend it for them so that they may increase in sin, and for them is a humiliating punishment.",[],0,5/3/2021 2:13,2babsky78,1843,positive
32,5/3/2021 2:18,"@marymonbb @OfficialMonstaX Great choices! Fatal Love is amazing and so is AAL and Follow. Good luck, bebe!",[],0,5/3/2021 2:18,anselimnida,683,positive
34,5/3/2021 2:21,Please read the Tweet is concerned to @ECISVEEP @SpokespersonECI @CEOWestBengal @BJP4India @BJP4Bengal  As I am resident of bengal here aal people says that they had cast vote to BJP but what happened after result. I think TMC are doing unfair counting as all countng ocurs localy,[],0,5/3/2021 2:21,Status_Gang,1,negative
35,5/3/2021 2:22,el anuncio del iphone con candyman de fondo that shit satisfying,[],0,5/3/2021 2:22,special_aal,55,positive
36,5/3/2021 2:27,Sun News admin ah vida peria aal pola this admin  Pics selection 😂😂😂😂 https://t.co/zvrUakln86,[],0,5/3/2021 2:27,Cinema_Soul,246,neutral
37,5/3/2021 2:32,@EricRWeinstein @TosinAbasi @rickbeato @thew6rst @mishaperiphery Please do a podcast with Misha. Periphery is one of my favorite bands (AAL and Polyphia are also amazing). Misha is hilarious and extremely knowledgeable. Can't wait to hear this talk!,[],0,5/3/2021 2:32,JustinDittburn1,19,positive
38,5/3/2021 2:34,$penn $mara $aal $tsla $opti $spy $srne $coin $sunw  $dkng $aapl $hexo $ibio $vxrt $acb $fb $amc $gme $fsr $cciv $msft $nio $snap $fubo $wkhs $sndl $pltr $ocgn $amd $nakd  WE ALERTED $MVIS at $10 RAN TO $25 (150% GAIN)  DAILY ALERTS  $15 ONE TIME!  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],0,5/3/2021 2:34,Right__Stocks,988,neutral
40,5/3/2021 2:35,@moonllate61 Ougheyyy aal,[],0,5/3/2021 2:35,silmongsil,252,neutral
42,5/3/2021 2:39,@AmericanAir If your company is truly sorry then they should take the steps to provide their customers with better service - pilots asking those who do not have connections to wait allowing connections the time they need to get to the gate (especially when both flights are #americanairlines ),['americanairlines'],0,5/3/2021 2:39,JennaMooreRD,105,negative
43,5/3/2021 2:41,Who sees what is see with the Flights Per Day Trend?  SHHH I'm hunting Airlines $LUV $UAL $DAL $AAL $SAVE $BA https://t.co/XNeDElp9zH,[],0,5/3/2021 2:41,So_FL_Trader,995,positive
44,5/3/2021 2:47,"@moonllate61 @christaline_ Donee ya aal, wish me luck 😁",[],0,5/3/2021 2:47,youtyta,20,positive
45,5/3/2021 2:48,@ArunJose2721998 @Dineshvjd @Anilblasters @cinemapatti Avarr mari nallavar yarum illa bro.... Never used his fans ...proper ah IT  katuna orae aal ..hardworker   more knowledgeable person than vijay.   Multitalented guy than vijay .. Not afraid of anyone ...,[],0,5/3/2021 2:48,sundarraaj901,479,positive
46,5/3/2021 2:50,"@moonllate61 @christaline_ done , pick me kak aal https://t.co/zkoR0a8NgS",[],0,5/3/2021 2:50,jaeciess,281,neutral
47,5/3/2021 3:07,"$UAL and $AAL, hanging in there. Arguably set up for more up or more jello. Not bearish right here. https://t.co/FBwyqhlIMm",[],0,5/3/2021 3:07,Shack_SI,471,positive
48,5/3/2021 3:13,"Dear @AmericanAir thought you might like this photo.  Sunrise at your ORD  hub, with the beautiful Chicago skyline in the background. #AmericanAirlines #ord #Chicago #travel https://t.co/9vtk5pU66g","['AmericanAirlines', 'ord', 'Chicago', 'travel']",1,5/3/2021 3:13,katsjourney,1630,positive
50,5/3/2021 3:19,$penn $mara $aal $tsla $opti $spy $srne $coin  $sunw $dkng $aapl $hexo $ibio $vxrt $acb $fb $amc $gme $fsr $cciv $msft $mvis $snap $fubo $wkhs $sndl $pltr $ocgn $amd $nakd  ALERTED $NIO at $6.1 RAN TO $35 (480% GAIN)  DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],0,5/3/2021 3:19,Right__Stocks,988,neutral
51,5/3/2021 3:19,@One_PiusJadwar Take out the trash,[],0,5/3/2021 3:19,aal_hunt,85,negative
52,5/3/2021 3:23,My friends: *boo’d up* or *outside doing hood rat shit* Me: https://t.co/yy7zpokxRj,[],0,5/3/2021 3:23,AAL_Savage_,694,negative
53,5/3/2021 3:25,@eddykenzoficial Like we still care MF,[],0,5/3/2021 3:25,aal_hunt,85,negative
55,5/3/2021 3:30,its no coincidence that they have more adult fans. that is their audience lmao. just look at AAL. they decided to promote w that cuz they know who's listening lmao,[],9,5/3/2021 3:30,Kookiecake4,2915,positive
56,5/3/2021 3:52,"To put it simple, I need to know whether I should pack a turkey @RealLunchables and some tranquilizer darts for this 20 year old chick or will food of some form be served. Thank you so much 😊🙏🏼 #AmericanAirlines #americanhelp #hangry","['AmericanAirlines', 'americanhelp', 'hangry']",0,5/3/2021 3:52,joshhocumYT,393,positive
57,5/3/2021 3:54,$MGON to announce new joint venture with $AAL in the next 2 weeks https://t.co/Mv3xmUJu9A  $GAINO $CBLLF $CSXXY $IRCP $VLOWY,[],0,5/3/2021 3:54,askwarrenbuffet,35150,positive
59,5/3/2021 4:00,$penn $mara $aal $tsla $opti $spy $srne $coin $sunw  $dkng $aapl $hexo $ibio $vxrt $acb $fb $amc $gme $fsr $cciv $msft $nio $snap $fubo $wkhs $sndl $pltr $ocgn $amd $nakd   WE ALERTED $MVIS at $10 RAN TO $25 (150% GAIN)  DAILY ALERTS  $15 ONE TIME!  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],0,5/3/2021 4:00,Right__Stocks,988,neutral
60,5/3/2021 4:06,Follow aal interaction of rajasthan govt #Rajasthanlockdown https://t.co/cM0p6tSrla,['Rajasthanlockdown'],0,5/3/2021 4:06,SagarM051,155,neutral
61,5/3/2021 4:07,aal izz well,[],0,5/3/2021 4:07,Bimagunawanism,537,neutral
62,5/3/2021 4:14,"@moonllate61 @ArthurPromos @aethenticc done, thanks for GA aal😍, bismillah album hot sauce aamiin, yuk bisa yuk debut menang GA album 😭, be happy and stay healthy aal,have a nice day 💚 https://t.co/dU9PtqkquW",[],0,5/3/2021 4:14,tytrackss,79,positive
63,5/3/2021 4:20,$penn $mara $aal $tsla $opti $spy $srne $coin $sunw $dkng $aapl $hexo $ibio $vxrt $acb $fb $amc $gme  $fsr $cciv $msft $mvis $snap $fubo $wkhs $sndl $pltr $ocgn $amd $nakd  ALERTED $NIO at $6.1 RAN TO $35 (480% GAIN)  DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],0,5/3/2021 4:20,Right__Stocks,988,neutral
64,5/3/2021 4:22,⁦@AmericanAir⁩ opens bookings for New York to New Delhi route  #american #americanairlines #newyork #newdelhi #delhi #india #jfk #booking #airline #aviation #flights #usa #india #news #update #newyorkjfk #delhiairport   Read the full story here: https://t.co/lrxRsLuCfV,"['american', 'americanairlines', 'newyork', 'newdelhi', 'delhi', 'india', 'jfk', 'booking', 'airline', 'aviation', 'flights', 'usa', 'india', 'news', 'update', 'newyorkjfk', 'delhiairport']",0,5/3/2021 4:22,ih_aviation,23,positive
65,5/3/2021 4:28,"@Dividend_Dollar BABA, CRM, AAL, GME, NFLX, FB, IWM.",[],0,5/3/2021 4:28,optimizetrades,3,neutral
66,5/3/2021 4:32,@IronBloodAika Unfortunately I have never seen a single ep of Birdman AAL the spoof of every Hanna Barbera cartoon so I am pretty much 🙃  with what went down on it.  But so far I am 3 ep in of Birdgirl and I am wanting to keep watching. Mostly because of....,[],0,5/3/2021 4:32,AwesomeTwan,23,neutral
68,5/3/2021 4:40,$penn $mara $aal $tsla $opti $spy $srne $coin $fsr $dkng $aapl $hexo $mvis $vxrt $amd $acb $fb $amc $pltr $sunw $cciv $nakd $ocgn $msft $nio $fubo $wkhs $snap $gme $sndl  WE ALERTED $BLNK at $6 RAN TO $30 (400% GAIN)  DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],1,5/3/2021 4:40,Right__Stocks,988,neutral
69,5/3/2021 5:09,@de3poesketiers @Amadeusivan @kat_Boris @CookTheDog @crist_aal @MoTheCat04 @TinusKat Dank u wel. https://t.co/rwZhvGxDCN,[],0,5/3/2021 5:09,BEPPIEDEPOES,1725,neutral
71,5/3/2021 5:32,A highlight of #TheMitchellsVsTheMachines was the parody of the #AmericanAirlines flight safety video.,"['TheMitchellsVsTheMachines', 'AmericanAirlines']",0,5/3/2021 5:32,mhowe1980,522,positive
72,5/3/2021 5:33,@ezraissad What's wrong?,[],0,5/3/2021 5:33,abdul__aal,959,neutral
73,5/3/2021 5:40,$penn $mara $aal $tsla $opti $spy $srne $coin $sunw  $dkng $aapl $hexo $ibio $vxrt $acb $fb $amc $gme $fsr $cciv $msft $nio $snap $fubo $wkhs $sndl $pltr  $ocgn $amd $nakd  WE ALERTED $MVIS at $10 RAN TO $25 (150% GAIN)  DAILY ALERTS  $15 ONE TIME!  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],1,5/3/2021 5:40,Right__Stocks,988,neutral
75,5/3/2021 5:41,"$GME its about to get ugly for longs, after earnings cant possibly justify price  https://t.co/yHRPUdtoce  $ABNB $MSOS $AMZN $NVDA $TSM $PLTR $SKLZ $AAL $XOM $IPO $FB $W $PENN $DKNG $PLTR $APHA $PTON $TDOC $PLUG $FSR $BNGO $VXX $SOS $MO $PM $DBX $M $BLI $ESLT $RBLX $RPTX $KOSS",[],1,5/3/2021 5:41,KoolaidDont,27,negative
74,5/3/2021 5:41,$GME not worth anything near the price its trading. hype wont hold it 4 long https://t.co/AvRKdPrWG7  $GME $ABNB $MSOS $AMZN $NVDA $TSM $PLTR $SKLZ $AAL $XOM $IPO $FB $W $PENN $DKNG $PLTR $APHA $PTON $TDOC $PLUG $FSR $BNGO $VXX $SOS $BIDU $MO $PM $DBX $BLI $ESLT $RBLX $RPTX $KOSS https://t.co/7oPO8fE0Dh,[],0,5/3/2021 5:41,KoolaidDont,27,neutral
76,5/3/2021 5:48,"@sudvaradhan Aana velai seiya daan aal illa.. the freebies have induced complacency in the working public in the large cities.  Similar to what is happening in western europe, but only at much lower income and quality of life. Just my observations,  haven't studied this formally.",[],0,5/3/2021 5:48,KaygeeAtWork,973,negative
77,5/3/2021 6:00,$penn $mara $aal $tsla $opti $spy $srne  $coin $sunw $dkng $aapl $hexo $mvis $twtr $fb $amc $gme $fsr $cciv $msft $nio $snap $fubo $wkhs $sndl $pltr $ocgn $amd $nakd  WE ALERTED $NOVN at $.50 RAN TO $1.30 (160% GAIN)  DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],1,5/3/2021 6:00,Right__Stocks,988,neutral
78,5/3/2021 6:10,Guys guys metroman jeytchalum scene ila guys😍 metroman padip olla aal aanu guys🥺🙏. Liberals tfu🤢🤮 https://t.co/r6LuFB6jFo,[],1,5/3/2021 6:10,megagagagagagag,527,positive
79,5/3/2021 6:15,aal iz well reminds me of jungkook for some reason,[],0,5/3/2021 6:15,fairygodsister,110,neutral
81,5/3/2021 6:23,"@moonllate61 @ArthurPromos @aethenticc donee aal, mau saldo ajaa 😭💚 tysm for this giveaway, wish me luck huhu 🙏✨ https://t.co/374SRgRUHT",[],0,5/3/2021 6:23,992LMK,1346,positive
82,5/3/2021 6:29,@SimmiAhuja_ @msisodia Aal these nos are not reaponding,[],0,5/3/2021 6:29,rajpuboy,2,neutral
85,5/3/2021 6:32,@7m00dMufc I'm fine.what about you?,[],0,5/3/2021 6:32,AAL_Abdullah,173,neutral
88,5/3/2021 6:36,aal chingazo la cheat meal,[],0,5/3/2021 6:36,Mariovelez0522,338,neutral
89,5/3/2021 6:40,$penn $mara $aal $tsla $opti $spy $srne $coin $sunw $dkng $aapl $hexo $ibio $vxrt $acb $fb  $amc $gme $fsr $cciv $msft $mvis $snap $fubo $wkhs $sndl $pltr $ocgn $amd $nakd  ALERTED $NIO at $6.1 RAN TO $35 (480% GAIN)  DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],1,5/3/2021 6:40,Right__Stocks,988,neutral
90,5/3/2021 6:40,"@moonllate61 @ArthurPromos @aethenticc Done,thanks for GA kak aal, bismillah menang aamiin, bismillah album hot sauce, be happy and stay healthy kak, have a nice day 💚 https://t.co/afT7kiOt2x",[],0,5/3/2021 6:40,aljeannie_,5,neutral
91,5/3/2021 6:40,"Good vibes, 🚬 Good morning ❣️Good day 💧💎 But aal in all how is your first 🏖️🏖️ Monday in this new month 💰May 🤫🤫💕💯💢",[],1,5/3/2021 6:40,jorvinile,767,positive
92,5/3/2021 6:53,@The_MMW @HustlingForever @EliteIncome_ @WealthMail @srowlands @NicoJamesBCN @MyBetaMod @ApprovedSide @PhilosophyVK_ @theinspiringco_ @AAL_________ You're welcome.,[],0,5/3/2021 6:53,salesmaverick__,10810,neutral
94,5/3/2021 7:00,$penn $mara $aal $tsla $opti $spy $srne $coin $fsr $dkng $aapl $hexo $mvis $ocgn $vxrt $amd $acb $fb $amc $pltr $sunw $cciv $nakd $msft $nio $fubo $wkhs $snap $gme $sndl  WE ALERTED $BLNK at $6 RAN TO $30 (400% GAIN)  DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],1,5/3/2021 7:00,Right__Stocks,988,neutral
95,5/3/2021 7:03,@manipalite That chowkidar reference from 3 idiots has been a major source of inspiration for the govt.. firstly it was “mai bhi chowkidar” .. now when elected .. its all abt “aal iz well” 😅,[],0,5/3/2021 7:03,KapilDhabu,37,neutral
96,5/3/2021 7:18,@manipalite Ppl are taking aal iz well for granted without questioning the duties being performed by the chowkidar!!   I feel like working 24*7 aimlessly is all waste whn thr is no output.. how pathetic it is to see National Capital giving SOS call Oxygen daily!!,[],0,5/3/2021 7:18,KapilDhabu,37,neutral
97,5/3/2021 7:20,@2WeeditOut The fact that we are talking about them itself is an indication of their presence. Aal address illama aakara varaikkum alert aave irukkanum,[],0,5/3/2021 7:20,ashwinrc26,162,positive
99,5/3/2021 7:23,That section where the tempo changed in AAL - Tooth and Claw is just so addicting to listen. I always look forward to it when listening to it,[],0,5/3/2021 7:23,can0n_mg,132,positive
101,5/3/2021 7:40,$penn $mara $aal $tsla $opti $spy $srne $coin $sunw  $dkng $aapl $hexo $ibio $vxrt $acb $fb $amc $gme $fsr $cciv $msft $nio $snap $fubo $wkhs  $sndl $pltr $ocgn $amd $nakd  WE ALERTED $MVIS at $10 RAN TO $25 (150% GAIN)  DAILY ALERTS  $15 ONE TIME!  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],0,5/3/2021 7:40,Right__Stocks,988,neutral
103,5/3/2021 8:00,$penn $mara $aal $tsla $opti $spy $srne $coin $sunw $dkng $aapl $hexo $vxrt $acb $fb $amc $gme $fsr  $cciv $msft $nio $snap $fubo $wkhs $sndl $mvis $pltr $ocgn $amd $nakd  ALERTED $DPW at $1.6 RAN TO $5 (210% GAIN)    DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],0,5/3/2021 8:00,Right__Stocks,988,neutral
104,5/3/2021 8:00,"AAL's Director, Klaus Niederländer says we need to move away from assistive technology -where someone is assisting us - to autonomy. Support needs to be focused on autonomy and not dependence.   Read his insight on the future of ageing well in Europe 👇  https://t.co/iyLd4wmWKv https://t.co/MV4xuMUfpi",[],3,5/3/2021 8:00,AALProgramme,3800,positive
106,5/3/2021 8:20,$penn $mara $aal $tsla $opti $spy $srne $coin $sunw $dkng $aapl $hexo $mvis $twtr $fb $amc $gme $fsr  $cciv $msft $nio $snap $fubo $wkhs $sndl $pltr $ocgn $amd $nakd  WE ALERTED $NOVN at $.50 RAN TO $1.30 (160% GAIN)  DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],0,5/3/2021 8:20,Right__Stocks,988,neutral
107,5/3/2021 8:21,@rezaadjej yaaneh aal ad 2021 will be the end of us,[],0,5/3/2021 8:21,jala2tia,529,negative
108,5/3/2021 8:24,@suresh_aal @KpChelana @JivrajAal @CRPaatil @narendramodi @VadwalaD @VISHESHDESAI1 @GulabsinhRajput @JivrajaalOffice @ShriLigovikrupa @VihotarGroupofG Best,[],2,5/3/2021 8:24,MahadevbhaiB,427,neutral
110,5/3/2021 8:27,Airlines and Cruise tickers should be popping this week. $AAL $UAL $DAL $SAVE $CCL $NCLH $RCL $JBLU $LUV https://t.co/mvjQcq7aXm,[],0,5/3/2021 8:27,Inbar772,698,positive
111,5/3/2021 8:30,@ggbcn33 @bcn123456 @GaySexManual @JacksGayPorn @BestGayVids @Dudes4Dudes @valjaws @Pollas_lefa3 @cumtast1k @gozadasfartas @PtiQcho1 @Pollas_ @Gabriel_AAL @EspanaMorbo @JuanDamian2012 Any guys 18 yo in Minnesota?,[],0,5/3/2021 8:30,bitch27804344,10,neutral
112,5/3/2021 8:31,"WTS / LFB: Monsta X Group Photocards - PH only!  •Prices are indicated in the photo below. •Reply the code of the product you are interested in buying.  Shapi: https://t.co/52vaFkwTgU  Tags: shownu, wonho, minhyuk, kihyun, hyungwon, jooheon, changkyun, mxu, tony moly, ttg, aal https://t.co/xUSPS6qu8F",[],4,5/3/2021 8:31,zizi_buyNsell,23,neutral
113,5/3/2021 8:37,@KoyalGhosh @BannaGupta76 @HemantSorenJMM @PMOIndia Aal izz well. Hoping the same at your end too.,[],0,5/3/2021 8:37,Anuj19S,136,neutral
114,5/3/2021 8:40,$penn $mara $aal $tsla $opti $spy $srne $coin $fsr $dkng $aapl $hexo $mvis $vxrt $amd $acb $fb $pltr $sunw $cciv $nakd $sndl $ocgn $msft $nio $fubo $wkhs $amc $snap $gme  WE ALERTED $BLNK at $6 RAN TO $30 (400% GAIN)  DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],0,5/3/2021 8:40,Right__Stocks,988,neutral
115,5/3/2021 8:53,@brajeshlive No vip  No VVIP  AAL ARE EQUAL  FOLLOW BABA SAHEB,[],0,5/3/2021 8:53,universaltruth_,476,neutral
116,5/3/2021 8:58,"$SUNI Price 0.11 USD - CAP. M &gt; 5 M. Take actions for the planet, Buy and Hold 🌏🚀  $AMC $DAL $UAL $CZR $TSLA  $DKNG $AAL #AEX $CCIV $TTCF $JBLU $SPY $MGM $GME $BYD $QQQ $NDX $VIX $CPA $ALK $FSR $STPK $RCL #SAFEMOON #Dogecoin #XRP #BTC  $TLRY $ACB $AMC $GNOG  $EBON $BABA $ETH https://t.co/fQj50WpGh0","['AEX', 'SAFEMOON', 'Dogecoin', 'XRP', 'BTC']",8,5/3/2021 8:58,sunitokenarmy,21717,positive
117,5/3/2021 8:58,Wow we found beow tan malaysia https://t.co/Hs6oslIf2K,[],0,5/3/2021 8:58,AAl_Afiq,727,neutral
120,5/3/2021 9:02,@ezraissad Oh wow I'm sorry :/,[],0,5/3/2021 9:02,abdul__aal,959,negative
118,5/3/2021 9:02,@handoesntexist @notsp3llb00k @punkassclit So true,[],0,5/3/2021 9:02,abdul__aal,959,neutral
119,5/3/2021 9:02,@heavenofsel i just woke up w deghre chefta aal tl https://t.co/s58RHSJF4m,[],0,5/3/2021 9:02,taysfenty,1310,neutral
124,5/3/2021 9:20,$penn $mara $aal $tsla $opti $spy  $srne $coin $sunw  $dkng $aapl $hexo $ibio $vxrt $acb $fb $amc $gme $fsr $cciv $msft $nio $snap $fubo $wkhs $sndl $pltr $ocgn $amd $nakd  WE ALERTED $MVIS at $10 RAN TO $25 (150% GAIN)  DAILY ALERTS  $15 ONE TIME!  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],0,5/3/2021 9:20,Right__Stocks,988,neutral
125,5/3/2021 9:21,@BTS_twt Yup hi king,[],0,5/3/2021 9:21,BTShypeman_aal,243,neutral
127,5/3/2021 9:26,"Started with $5k, down to $1k, back up to $152k, You can join this community from BIO,  $itub $uxin $aal $t $msft $intc $xom $g $pbr $tqqq $xle $efa $pfe $amc $fxi $plug $iwm $bbd $fb $snap $pltr $x $pbct $ggb $c $hyg $mara $job $cmcsa $ccl $gdx $siri $mro $viac $csco $fcel $vxx https://t.co/193gDbjww6",[],0,5/3/2021 9:26,OnXtrades,1,neutral
129,5/3/2021 9:30,How rude doctors can be like i just messaged him on WhatsApp asking for something on a holiday 😂 Bahdalneh le ma baatello email instead laan aam yaaml sport w ma bired aal tlemiz ella by email 🥲,[],0,5/3/2021 9:30,madNsad247,1317,neutral
141,5/3/2021 9:40,$penn $mara $aal $tsla $opti $spy $srne $coin $fsr $dkng $aapl $hexo $mvis $amd $acb $fb $amc $pltr $sunw $cciv $nakd $ocgn $vxrt $msft $nio $fubo $wkhs $snap $gme $sndl  WE ALERTED $BLNK at $6 RAN TO $30 (400% GAIN)  DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT 👇👇 🚨LINK IN BIO🚨,[],2,5/3/2021 9:40,Right__Stocks,988,neutral
142,5/3/2021 9:40,",Started with $5k, down to $1k……, back up to $152k.. Big thanks to this community.,.,.,…:- https://t.co/W20ap8Dmlv  $aal $t $msft $intc $xom $g $pbr $tqqq $xle https://t.co/uzTy4IbjzH",[],0,5/3/2021 9:40,AlanaFrencham,0,positive
144,5/3/2021 9:43,Soon... https://t.co/3KA04rqj9j,[],0,5/3/2021 9:43,aal_Angeis,191,neutral
